Series;Time;Value
Sum;2018-04-20T11:28:00+01:00;484
Sum;2018-04-20T11:29:00+01:00;479
Sum;2018-04-20T11:30:00+01:00;485
Sum;2018-04-20T11:31:00+01:00;482
Sum;2018-04-20T11:32:00+01:00;482
Sum;2018-04-20T11:33:00+01:00;606
Sum;2018-04-20T11:34:00+01:00;947
Sum;2018-04-20T11:35:00+01:00;631
Sum;2018-04-20T11:36:00+01:00;964
Sum;2018-04-20T11:37:00+01:00;454
Sum;2018-04-20T11:38:00+01:00;411
Sum;2018-04-20T11:39:00+01:00;421
Sum;2018-04-20T11:40:00+01:00;391
Sum;2018-04-20T11:41:00+01:00;295
Mean;2018-04-20T11:28:00+01:00;484
Mean;2018-04-20T11:29:00+01:00;479
Mean;2018-04-20T11:30:00+01:00;485
Mean;2018-04-20T11:31:00+01:00;482
Mean;2018-04-20T11:32:00+01:00;482
Mean;2018-04-20T11:33:00+01:00;606
Mean;2018-04-20T11:34:00+01:00;315.6666666666667
Mean;2018-04-20T11:35:00+01:00;631
Mean;2018-04-20T11:36:00+01:00;241
Mean;2018-04-20T11:37:00+01:00;454
Mean;2018-04-20T11:38:00+01:00;411
Mean;2018-04-20T11:39:00+01:00;421
Mean;2018-04-20T11:40:00+01:00;391
Mean;2018-04-20T11:41:00+01:00;295
