Series;Time;Value
Sum;2018-04-23T16:35:00+01:00;538
Sum;2018-04-23T16:36:00+01:00;535
Sum;2018-04-23T16:37:00+01:00;542
Sum;2018-04-23T16:38:00+01:00;722
Sum;2018-04-23T16:39:00+01:00;678
Sum;2018-04-23T16:40:00+01:00;1069
Sum;2018-04-23T16:41:00+01:00;1073
Sum;2018-04-23T16:42:00+01:00;1310
Sum;2018-04-23T16:43:00+01:00;1551
Sum;2018-04-23T16:44:00+01:00;1601
Sum;2018-04-23T16:45:00+01:00;1606
Sum;2018-04-23T16:46:00+01:00;1855
Sum;2018-04-23T16:47:00+01:00;1812
Sum;2018-04-23T16:48:00+01:00;2142
Sum;2018-04-23T16:49:00+01:00;2154
Mean;2018-04-23T16:35:00+01:00;538
Mean;2018-04-23T16:36:00+01:00;535
Mean;2018-04-23T16:37:00+01:00;542
Mean;2018-04-23T16:38:00+01:00;722
Mean;2018-04-23T16:39:00+01:00;678
Mean;2018-04-23T16:40:00+01:00;534.5
Mean;2018-04-23T16:41:00+01:00;536.5
Mean;2018-04-23T16:42:00+01:00;655
Mean;2018-04-23T16:43:00+01:00;775.5
Mean;2018-04-23T16:44:00+01:00;533.6666666666666
Mean;2018-04-23T16:45:00+01:00;535.3333333333334
Mean;2018-04-23T16:46:00+01:00;618.3333333333334
Mean;2018-04-23T16:47:00+01:00;604
Mean;2018-04-23T16:48:00+01:00;535.5
Mean;2018-04-23T16:49:00+01:00;538.5
