Series;Time;Value
req/s;2018-04-23T16:35:00+01:00;20
req/s;2018-04-23T16:35:15+01:00;20
req/s;2018-04-23T16:35:30+01:00;20
req/s;2018-04-23T16:35:45+01:00;20
req/s;2018-04-23T16:36:00+01:00;20
req/s;2018-04-23T16:36:15+01:00;20
req/s;2018-04-23T16:36:30+01:00;20
req/s;2018-04-23T16:36:45+01:00;20
req/s;2018-04-23T16:37:00+01:00;20
req/s;2018-04-23T16:37:15+01:00;20
req/s;2018-04-23T16:37:30+01:00;20
req/s;2018-04-23T16:37:45+01:00;35.13333333333333
req/s;2018-04-23T16:38:00+01:00;39.93333333333333
req/s;2018-04-23T16:38:15+01:00;40
req/s;2018-04-23T16:38:30+01:00;29.733333333333334
req/s;2018-04-23T16:38:45+01:00;39.917093333333334
req/s;2018-04-23T16:39:00+01:00;39.93333333333334
req/s;2018-04-23T16:39:15+01:00;40
req/s;2018-04-23T16:39:30+01:00;39.8
req/s;2018-04-23T16:39:45+01:00;40.065346754660794
req/s;2018-04-23T16:40:00+01:00;39.93465786607996
req/s;2018-04-23T16:40:15+01:00;40.05586353944563
req/s;2018-04-23T16:40:30+01:00;40.009379132817685
req/s;2018-04-23T16:40:45+01:00;40.06798675467253
req/s;2018-04-23T16:41:00+01:00;39.9319956447348
req/s;2018-04-23T16:41:15+01:00;40.134675645043004
req/s;2018-04-23T16:41:30+01:00;39.86666666666667
req/s;2018-04-23T16:41:45+01:00;53.2
req/s;2018-04-23T16:42:00+01:00;59.93333333333334
req/s;2018-04-23T16:42:15+01:00;60.06666666666666
req/s;2018-04-23T16:42:30+01:00;60
req/s;2018-04-23T16:42:45+01:00;60
req/s;2018-04-23T16:43:00+01:00;52.400000000000006
req/s;2018-04-23T16:43:15+01:00;40
req/s;2018-04-23T16:43:30+01:00;60
req/s;2018-04-23T16:43:45+01:00;59.6
req/s;2018-04-23T16:44:00+01:00;60.266666666666666
req/s;2018-04-23T16:44:15+01:00;59.733333333333334
req/s;2018-04-23T16:44:30+01:00;60.13333333333334
req/s;2018-04-23T16:44:45+01:00;59.930649246767096
req/s;2018-04-23T16:45:00+01:00;59.9360092456772
req/s;2018-04-23T16:45:15+01:00;59.66666666666667
req/s;2018-04-23T16:45:30+01:00;60.53333333333333
req/s;2018-04-23T16:45:45+01:00;70.06666666666666
req/s;2018-04-23T16:46:00+01:00;79.86666666666666
req/s;2018-04-23T16:46:15+01:00;80.131524565029
req/s;2018-04-23T16:46:30+01:00;74.46843567348935
req/s;2018-04-23T16:46:45+01:00;79.8912228073684
req/s;2018-04-23T16:47:00+01:00;80
req/s;2018-04-23T16:47:15+01:00;80
req/s;2018-04-23T16:47:30+01:00;80
req/s;2018-04-23T16:47:45+01:00;80
req/s;2018-04-23T16:48:00+01:00;79.93333333333334
req/s;2018-04-23T16:48:15+01:00;80
req/s;2018-04-23T16:48:30+01:00;80.06666666666666
req/s;2018-04-23T16:48:45+01:00;80
req/s;2018-04-23T16:49:00+01:00;80
duration/s;2018-04-23T16:35:00+01:00;28.634999999999998
duration/s;2018-04-23T16:35:15+01:00;28.68222222222222
duration/s;2018-04-23T16:35:30+01:00;28.584444444444436
duration/s;2018-04-23T16:35:45+01:00;28.837777777777774
duration/s;2018-04-23T16:36:00+01:00;28.833333333333332
duration/s;2018-04-23T16:36:15+01:00;28.893333333333334
duration/s;2018-04-23T16:36:30+01:00;29.07888888888889
duration/s;2018-04-23T16:36:45+01:00;29.21
duration/s;2018-04-23T16:37:00+01:00;29.147777777777776
duration/s;2018-04-23T16:37:15+01:00;29.176666666666666
duration/s;2018-04-23T16:37:30+01:00;29.21222222222222
