Series;Time;Value
{};2018-04-23T16:35:00+01:00;1
{};2018-04-23T16:35:15+01:00;1
{};2018-04-23T16:35:30+01:00;1
{};2018-04-23T16:35:45+01:00;1
{};2018-04-23T16:36:00+01:00;1
{};2018-04-23T16:36:15+01:00;1
{};2018-04-23T16:36:30+01:00;1
{};2018-04-23T16:36:45+01:00;1
{};2018-04-23T16:37:00+01:00;1
{};2018-04-23T16:37:15+01:00;1
{};2018-04-23T16:37:30+01:00;1
{};2018-04-23T16:37:45+01:00;1
{};2018-04-23T16:38:00+01:00;1
{};2018-04-23T16:38:15+01:00;1
{};2018-04-23T16:38:30+01:00;2
{};2018-04-23T16:38:45+01:00;2
{};2018-04-23T16:39:00+01:00;2
{};2018-04-23T16:39:15+01:00;2
{};2018-04-23T16:39:30+01:00;2
{};2018-04-23T16:39:45+01:00;2
{};2018-04-23T16:40:00+01:00;2
{};2018-04-23T16:40:15+01:00;2
{};2018-04-23T16:40:30+01:00;2
{};2018-04-23T16:40:45+01:00;2
{};2018-04-23T16:41:00+01:00;2
{};2018-04-23T16:41:15+01:00;2
{};2018-04-23T16:41:30+01:00;2
{};2018-04-23T16:41:45+01:00;2
{};2018-04-23T16:42:00+01:00;2
{};2018-04-23T16:42:15+01:00;2
{};2018-04-23T16:42:30+01:00;2
{};2018-04-23T16:42:45+01:00;2
{};2018-04-23T16:43:00+01:00;2
{};2018-04-23T16:43:15+01:00;3
{};2018-04-23T16:43:30+01:00;3
{};2018-04-23T16:43:45+01:00;3
{};2018-04-23T16:44:00+01:00;3
{};2018-04-23T16:44:15+01:00;3
{};2018-04-23T16:44:30+01:00;3
{};2018-04-23T16:44:45+01:00;3
{};2018-04-23T16:45:00+01:00;3
{};2018-04-23T16:45:15+01:00;3
{};2018-04-23T16:45:30+01:00;3
{};2018-04-23T16:45:45+01:00;3
{};2018-04-23T16:46:00+01:00;3
{};2018-04-23T16:46:15+01:00;3
{};2018-04-23T16:46:30+01:00;4
{};2018-04-23T16:46:45+01:00;4
{};2018-04-23T16:47:00+01:00;4
{};2018-04-23T16:47:15+01:00;4
{};2018-04-23T16:47:30+01:00;4
{};2018-04-23T16:47:45+01:00;4
{};2018-04-23T16:48:00+01:00;4
{};2018-04-23T16:48:15+01:00;4
{};2018-04-23T16:48:30+01:00;4
{};2018-04-23T16:48:45+01:00;4
{};2018-04-23T16:49:00+01:00;4
