Series;Time;Value
Specific Metric;2018-04-20T10:28:45+01:00;1
Specific Metric;2018-04-20T10:29:00+01:00;1
Specific Metric;2018-04-20T10:29:15+01:00;1
Specific Metric;2018-04-20T10:29:30+01:00;1
Specific Metric;2018-04-20T10:29:45+01:00;1
Specific Metric;2018-04-20T10:30:00+01:00;1
Specific Metric;2018-04-20T10:30:15+01:00;1
Specific Metric;2018-04-20T10:30:30+01:00;0.25
Specific Metric;2018-04-20T10:30:45+01:00;0
Specific Metric;2018-04-20T10:31:00+01:00;0
Specific Metric;2018-04-20T10:31:15+01:00;0
Specific Metric;2018-04-20T10:31:30+01:00;0
Specific Metric;2018-04-20T10:31:45+01:00;0
Specific Metric;2018-04-20T10:32:00+01:00;0
Specific Metric;2018-04-20T10:32:15+01:00;0
Specific Metric;2018-04-20T10:32:30+01:00;0
Specific Metric;2018-04-20T10:32:45+01:00;0
Specific Metric;2018-04-20T10:33:00+01:00;0
