Series;Time;Value
Replicas;2018-04-23T17:08:00+01:00;1
Replicas;2018-04-23T17:08:15+01:00;1
Replicas;2018-04-23T17:08:30+01:00;1
Replicas;2018-04-23T17:08:45+01:00;1
Replicas;2018-04-23T17:09:00+01:00;1
Replicas;2018-04-23T17:09:15+01:00;1
Replicas;2018-04-23T17:09:30+01:00;1
Replicas;2018-04-23T17:09:45+01:00;1
Replicas;2018-04-23T17:10:00+01:00;1
Replicas;2018-04-23T17:10:15+01:00;1
Replicas;2018-04-23T17:10:30+01:00;1
Replicas;2018-04-23T17:10:45+01:00;1
Replicas;2018-04-23T17:11:00+01:00;3
Replicas;2018-04-23T17:11:15+01:00;3
Replicas;2018-04-23T17:11:30+01:00;3
Replicas;2018-04-23T17:11:45+01:00;3
Replicas;2018-04-23T17:12:00+01:00;3
Replicas;2018-04-23T17:12:15+01:00;3
Replicas;2018-04-23T17:12:30+01:00;3
Replicas;2018-04-23T17:12:45+01:00;3
Replicas;2018-04-23T17:13:00+01:00;3
Replicas;2018-04-23T17:13:15+01:00;3
Replicas;2018-04-23T17:13:30+01:00;3
Replicas;2018-04-23T17:13:45+01:00;3
Replicas;2018-04-23T17:14:00+01:00;3
Replicas;2018-04-23T17:14:15+01:00;3
Replicas;2018-04-23T17:14:30+01:00;3
Replicas;2018-04-23T17:14:45+01:00;2
Replicas;2018-04-23T17:15:00+01:00;1
Replicas;2018-04-23T17:15:15+01:00;1
Replicas;2018-04-23T17:15:30+01:00;1
Replicas;2018-04-23T17:15:45+01:00;1
Replicas;2018-04-23T17:16:00+01:00;1
Replicas;2018-04-23T17:16:15+01:00;1
Replicas;2018-04-23T17:16:30+01:00;1
Replicas;2018-04-23T17:16:45+01:00;1
Replicas;2018-04-23T17:17:00+01:00;1
Replicas;2018-04-23T17:17:15+01:00;1
Replicas;2018-04-23T17:17:30+01:00;1
Replicas;2018-04-23T17:17:45+01:00;1
Replicas;2018-04-23T17:18:00+01:00;1
Replicas;2018-04-23T17:18:15+01:00;1
Replicas;2018-04-23T17:18:30+01:00;1
Replicas;2018-04-23T17:18:45+01:00;1
Replicas;2018-04-23T17:19:00+01:00;2
Replicas;2018-04-23T17:19:15+01:00;3
Replicas;2018-04-23T17:19:30+01:00;3
Replicas;2018-04-23T17:19:45+01:00;3
Replicas;2018-04-23T17:20:00+01:00;3
Replicas;2018-04-23T17:20:15+01:00;3
Replicas;2018-04-23T17:20:30+01:00;3
Replicas;2018-04-23T17:20:45+01:00;3
Replicas;2018-04-23T17:21:00+01:00;3
Replicas;2018-04-23T17:21:15+01:00;3
Replicas;2018-04-23T17:21:30+01:00;3
Replicas;2018-04-23T17:21:45+01:00;3
Replicas;2018-04-23T17:22:00+01:00;3
Specific Metric;2018-04-23T17:08:00+01:00;0
Specific Metric;2018-04-23T17:08:15+01:00;0
Specific Metric;2018-04-23T17:08:30+01:00;0
Specific Metric;2018-04-23T17:08:45+01:00;0
Specific Metric;2018-04-23T17:09:00+01:00;0
Specific Metric;2018-04-23T17:09:15+01:00;0
Specific Metric;2018-04-23T17:09:30+01:00;0
Specific Metric;2018-04-23T17:09:45+01:00;0
Specific Metric;2018-04-23T17:10:00+01:00;0
Specific Metric;2018-04-23T17:10:15+01:00;0
Specific Metric;2018-04-23T17:10:30+01:00;1
Specific Metric;2018-04-23T17:10:45+01:00;1
Specific Metric;2018-04-23T17:11:00+01:00;1
Specific Metric;2018-04-23T17:11:15+01:00;1
Specific Metric;2018-04-23T17:11:30+01:00;1
Specific Metric;2018-04-23T17:11:45+01:00;1
Specific Metric;2018-04-23T17:12:00+01:00;1
Specific Metric;2018-04-23T17:12:15+01:00;1
Specific Metric;2018-04-23T17:12:30+01:00;1
Specific Metric;2018-04-23T17:12:45+01:00;1
Specific Metric;2018-04-23T17:13:00+01:00;1
Specific Metric;2018-04-23T17:13:15+01:00;1
Specific Metric;2018-04-23T17:13:30+01:00;1
Specific Metric;2018-04-23T17:13:45+01:00;1
Specific Metric;2018-04-23T17:14:00+01:00;1
Specific Metric;2018-04-23T17:14:15+01:00;1
Specific Metric;2018-04-23T17:14:30+01:00;0
Specific Metric;2018-04-23T17:14:45+01:00;0
Specific Metric;2018-04-23T17:15:00+01:00;0
Specific Metric;2018-04-23T17:15:15+01:00;0
Specific Metric;2018-04-23T17:15:30+01:00;0
Specific Metric;2018-04-23T17:15:45+01:00;0
Specific Metric;2018-04-23T17:16:00+01:00;0
Specific Metric;2018-04-23T17:16:15+01:00;0
Specific Metric;2018-04-23T17:16:30+01:00;0
Specific Metric;2018-04-23T17:16:45+01:00;0
Specific Metric;2018-04-23T17:17:00+01:00;0
Specific Metric;2018-04-23T17:17:15+01:00;0
Specific Metric;2018-04-23T17:17:30+01:00;0
Specific Metric;2018-04-23T17:17:45+01:00;0
Specific Metric;2018-04-23T17:18:00+01:00;0
Specific Metric;2018-04-23T17:18:15+01:00;0
Specific Metric;2018-04-23T17:18:30+01:00;1
Specific Metric;2018-04-23T17:18:45+01:00;1
Specific Metric;2018-04-23T17:19:00+01:00;1
Specific Metric;2018-04-23T17:19:15+01:00;1
Specific Metric;2018-04-23T17:19:30+01:00;1
Specific Metric;2018-04-23T17:19:45+01:00;1
Specific Metric;2018-04-23T17:20:00+01:00;1
Specific Metric;2018-04-23T17:20:15+01:00;1
Specific Metric;2018-04-23T17:20:30+01:00;1
Specific Metric;2018-04-23T17:20:45+01:00;1
Specific Metric;2018-04-23T17:21:00+01:00;1
Specific Metric;2018-04-23T17:21:15+01:00;1
Specific Metric;2018-04-23T17:21:30+01:00;1
Specific Metric;2018-04-23T17:21:45+01:00;1
Specific Metric;2018-04-23T17:22:00+01:00;1
