Series;Time;Value
OK/s;2018-04-23T15:22:50+01:00;16
OK/s;2018-04-23T15:23:05+01:00;20
OK/s;2018-04-23T15:23:20+01:00;20.022222222222222
OK/s;2018-04-23T15:23:35+01:00;20.022222222222222
OK/s;2018-04-23T15:23:50+01:00;20
OK/s;2018-04-23T15:24:05+01:00;19.977777777777774
OK/s;2018-04-23T15:24:20+01:00;20
OK/s;2018-04-23T15:24:35+01:00;20
OK/s;2018-04-23T15:24:50+01:00;20.022222222222222
OK/s;2018-04-23T15:25:05+01:00;19.955555555555556
OK/s;2018-04-23T15:25:20+01:00;18.84444444444444
OK/s;2018-04-23T15:25:35+01:00;17.733333333333334
OK/s;2018-04-23T15:25:50+01:00;16.733333333333334
OK/s;2018-04-23T15:26:05+01:00;17.733333333333334
OK/s;2018-04-23T15:26:20+01:00;30.35631222222222
OK/s;2018-04-23T15:26:35+01:00;36.689347777777776
OK/s;2018-04-23T15:26:50+01:00;40.110658775484
OK/s;2018-04-23T15:27:05+01:00;40.133333333333326
OK/s;2018-04-23T15:27:20+01:00;39.84444444444444
OK/s;2018-04-23T15:27:35+01:00;40.24488889876565
OK/s;2018-04-23T15:27:50+01:00;40.133333333333326
OK/s;2018-04-23T15:28:05+01:00;40.02222222222222
OK/s;2018-04-23T15:28:20+01:00;39.75425045737691
OK/s;2018-04-23T15:28:35+01:00;39.84400050369251
OK/s;2018-04-23T15:28:50+01:00;39.91066568891062
OK/s;2018-04-23T15:29:05+01:00;43.68935704744055
OK/s;2018-04-23T15:29:20+01:00;50.37669733197043
OK/s;2018-04-23T15:29:35+01:00;56.978389149388505
OK/s;2018-04-23T15:29:50+01:00;60.045111125926255
OK/s;2018-04-23T15:30:05+01:00;55.37777777777778
OK/s;2018-04-23T15:30:20+01:00;60.411002205582456
OK/s;2018-04-23T15:30:35+01:00;58.82180666666667
OK/s;2018-04-23T15:30:50+01:00;60.08578152064026
OK/s;2018-04-23T15:31:05+01:00;60.13556552151816
OK/s;2018-04-23T15:31:20+01:00;59.911550627050964
OK/s;2018-04-23T15:31:35+01:00;59.93775869289816
OK/s;2018-04-23T15:31:50+01:00;59.8
OK/s;2018-04-23T15:32:05+01:00;59.95555555555555
OK/s;2018-04-23T15:32:20+01:00;59.93333333333333
OK/s;2018-04-23T15:32:35+01:00;60.221778281470286
OK/s;2018-04-23T15:32:50+01:00;59.91111111111111
OK/s;2018-04-23T15:33:05+01:00;63.86666666666667
OK/s;2018-04-23T15:33:20+01:00;70.02274470296871
OK/s;2018-04-23T15:33:35+01:00;76.84444444444443
OK/s;2018-04-23T15:33:50+01:00;79.37660252136942
OK/s;2018-04-23T15:34:05+01:00;79.35261454303739
OK/s;2018-04-23T15:34:20+01:00;79.48711567376989
OK/s;2018-04-23T15:34:35+01:00;79.33450375572248
OK/s;2018-04-23T15:34:50+01:00;79.64738886426031
OK/s;2018-04-23T15:35:05+01:00;79.11287567319303
OK/s;2018-04-23T15:35:20+01:00;79.37777777777777
OK/s;2018-04-23T15:35:35+01:00;78.9111111111111
OK/s;2018-04-23T15:35:50+01:00;79.3771856921698
OK/s;2018-04-23T15:36:05+01:00;79.28829482801616
OK/s;2018-04-23T15:36:20+01:00;79.48888888888888
OK/s;2018-04-23T15:36:35+01:00;79.42281680333636
DE/s;2018-04-23T15:22:50+01:00;0
DE/s;2018-04-23T15:23:05+01:00;0
DE/s;2018-04-23T15:23:20+01:00;0
DE/s;2018-04-23T15:23:35+01:00;0
DE/s;2018-04-23T15:23:50+01:00;0
DE/s;2018-04-23T15:24:05+01:00;0
DE/s;2018-04-23T15:24:20+01:00;0
DE/s;2018-04-23T15:24:35+01:00;0
DE/s;2018-04-23T15:24:50+01:00;0
DE/s;2018-04-23T15:25:05+01:00;5.444444444444444
DE/s;2018-04-23T15:25:20+01:00;13.222222222222221
DE/s;2018-04-23T15:25:35+01:00;20.977777777777774
DE/s;2018-04-23T15:25:50+01:00;23.244444444444444
DE/s;2018-04-23T15:26:05+01:00;16.066666666666666
DE/s;2018-04-23T15:26:20+01:00;8.31111111111111
DE/s;2018-04-23T15:26:35+01:00;0.6
DE/s;2018-04-23T15:26:50+01:00;0
DE/s;2018-04-23T15:27:05+01:00;0
DE/s;2018-04-23T15:27:20+01:00;0
